ID,Location ,method,HK (m/d),sample_ID,sample_collection_loc,Lithologic-description,Depth (cm),D10(mm),D50(mm),D60(mm)  interpolated,D90(mm)
1,KL,kozeny-Karmen,12.86639793,KTK-1,LAGOON BED,,Bed Surf.,0.214,0.547,2.12975,6.878
2,KL,kozeny-Karmen,9.130684848,KTK-2,LAGOON BED,,0-11,0.162,0.378,1.2555,3.888
3,KL,kozeny-Karmen,15.84813951,KTK-3,LAGOON BED,,11-20,0.465,22.511,22.5275,22.577
4,KL,kozeny-Karmen,22.07955527,KTK-4,LAGOON BED,,20-30,0.265,0.709,2.32125,7.158
5,KL,kozeny-Karmen,16.82769485,KTK-5,LAGOON BED,,40-46,0.29,1.201,4.09875,12.792
6,KL,kozeny-Karmen,56.7470433,KTK-6,SHORELINE,,0-3.7,0.47,4.17,5.152,8.098
7,KL,kozeny-Karmen,3.028551133,KTK-7,SHORELINE,,3.7-10,0.127,0.294,1.9105,6.76
8,KL,kozeny-Karmen,1.30681063,KTK-8,SHORELINE,,20-27,0.121,0.301,4.039,15.253
9,KL,kozeny-Karmen,5.829585804,KTK-9,SHORELINE,,27-35.3,0.29,17.19,17.20275,17.241
10,KL,Hazen,39.567744,KTK-1,LAGOON BED,,Bed Surf.,0.214,0.547,2.12975,6.878
11,KL,Hazen,22.674816,KTK-2,LAGOON BED,,0-11,0.162,0.378,1.2555,3.888
12,KL,Hazen,186.8184,KTK-3,LAGOON BED,,11-20,0.465,22.511,22.5275,22.577
13,KL,Hazen,60.6744,KTK-4,LAGOON BED,,20-30,0.265,0.709,2.32125,7.158
14,KL,Hazen,72.6624,KTK-5,LAGOON BED,,40-46,0.29,1.201,4.09875,12.792
15,KL,Hazen,190.8576,KTK-6,SHORELINE,,0-3.7,0.47,4.17,5.152,8.098
16,KL,Hazen,13.935456,KTK-7,SHORELINE,,3.7-10,0.127,0.294,1.9105,6.76
17,KL,Hazen,12.649824,KTK-8,SHORELINE,,20-27,0.121,0.301,4.039,15.253
18,KL,Hazen,72.6624,KTK-9,SHORELINE,,27-35.3,0.29,17.19,17.20275,17.241
19,KL,Beyer,44.51331462,KTK-1,LAGOON BED,,Bed Surf.,0.214,0.547,2.12975,6.878
20,KL,Beyer,27.13769781,KTK-2,LAGOON BED,,0-11,0.162,0.378,1.2555,3.888
21,KL,Beyer,125.2459273,KTK-3,LAGOON BED,,11-20,0.465,22.511,22.5275,22.577
22,KL,Beyer,70.48267894,KTK-4,LAGOON BED,,20-30,0.265,0.709,2.32125,7.158
23,KL,Beyer,74.42381615,KTK-5,LAGOON BED,,40-46,0.29,1.201,4.09875,12.792
24,KL,Beyer,209.4161547,KTK-6,SHORELINE,,0-3.7,0.47,4.17,5.152,8.098
25,KL,Beyer,14.02360114,KTK-7,SHORELINE,,3.7-10,0.127,0.294,1.9105,6.76
26,KL,Beyer,9.834007624,KTK-8,SHORELINE,,20-27,0.121,0.301,4.039,15.253
27,KL,Beyer,44.48802753,KTK-9,SHORELINE,,27-35.3,0.29,17.19,17.20275,17.241
28,KL,Darcy/T-z,0.5,,,,,,,,
29,KL,Darcy/T-z,0.4,,,,,,,,
30,KL,Terzaghi,12.94527824,KTK-1,LAGOON BED,,Bed Surf.,0.214,0.547,2.12975,6.878
31,KL,Terzaghi,9.134331684,KTK-2,LAGOON BED,,0-11,0.162,0.378,1.2555,3.888
32,KL,Terzaghi,11.63434331,KTK-3,LAGOON BED,,11-20,0.465,22.511,22.5275,22.577
33,KL,Terzaghi,22.17663839,KTK-4,LAGOON BED,,20-30,0.265,0.709,2.32125,7.158
34,KL,Terzaghi,16.69038533,KTK-5,LAGOON BED,,40-46,0.29,1.201,4.09875,12.792
35,KL,Terzaghi,57.04935511,KTK-6,SHORELINE,,0-3.7,0.47,4.17,5.152,8.098
36,KL,Terzaghi,2.984824708,KTK-7,SHORELINE,,3.7-10,0.127,0.294,1.9105,6.76
37,KL,Terzaghi,1.062064035,KTK-8,SHORELINE,,20-27,0.121,0.301,4.039,15.253
38,KL,Terzaghi,4.135504275,KTK-9,SHORELINE,,27-35.3,0.29,17.19,17.20275,17.241
39,SL,temp-Darcy,7.5,,,,,,,,
40,SL,temp-Darcy,15.9,,,,,,,,
41,SL,temp-Darcy,6,,,,,,,,
42,SL,Ksat,54.2,sample1,"next to piezometer A1, top sediment",medium-course sand,,,,,
43,SL,Ksat,52.9,sample1,"next to piezometer A1, top sediment",medium-course sand,,,,,
44,SL,Ksat,46.8,sample1,"next to piezometer A1, top sediment",medium-course sand,,,,,
45,SL,Ksat,14.1,sample2,right at the interface of beach and the tundra,sand+peat+mud layers,,,,,
46,SL,Ksat,13.6,sample2,right at the interface of beach and the tundra,sand+peat+mud layers,,,,,
47,SL,Ksat,16.1,sample2,right at the interface of beach and the tundra,sand+peat+mud layers,,,,,
48,SL,Ksat,5.9,sample3,"next to piezometer A1, 20 cm deeper than #1",sand+peat+mud layers,,,,,
49,SL,Ksat,6.7,sample3,"next to piezometer A1, 20 cm deeper than #1",sand+peat+mud layers,,,,,
50,SL,Ksat,5.6,sample3,"next to piezometer A1, 20 cm deeper than #1",sand+peat+mud layers,,,,,
51,SL,Ksat,24.6,sample4,top sediment,medium-course sand,,,,,
52,SL,Ksat,34.1,sample4,top sediment,medium-course sand,,,,,
53,SL,Ksat,33.1,sample4,top sediment,medium-course sand,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,